yiwofeng	like a swarm of bees	一窝蜂
yiqiongerbai	impoverished	一穷二白
yikuiduanni	infer easily	一窥端倪
yizhanshi	one-stop	一站式
yixiaoliaozhi	laugh away	一笑了之
yixiaozhizhi	dismiss with a laugh	一笑置之
yibigouxiao	write off at one stroke	一笔勾销
yibidaiguo	mention only very briefly	一笔带过
yibimosha	blot out at one stroke	一笔抹杀
yideng	first class	一等
yidengyi	top-notch	一等一
yidengjiang	first prize	一等奖
yijianzhichou	a wrong suffered	一箭之仇
yichoumozhan	be unable to find a solution	一筹莫展
yiluokuang	bucketloads of	一箩筐
yixilie	a series of	一系列
yizhikongwen	a worthless piece of paper	一纸空文
yiji	first class	一级
yijishiguan	corporal	一级士官
yijifangchengshi	Formula One	一级方程式
yijibang	first-rate	一级棒
yijitou	first stage	一级头
yitong	unify	一统
yisiyihao	one thread, one hair	一丝一毫
yisibugua	not wearing one thread	一丝不挂
yisibugou	not one thread loose	一丝不苟
yijing	as soon as	一经
yiwei	one-dimensional	一维
yixian	front line	一线
yixianzhijian	a hair's breadth apart	一线之间
yixianzhige	a fine line	一线之隔
yixianxiwang	a gleam of hope	一线希望
yixianshengji	a chance of survival	一线生机
yizong	altogether	一总
yierzaizaiersan	again and again	一而再，再而三
yisheng	first tone in Mandarin	一声
yishengbukeng	not say a word	一声不吭
yishengbuxiang	keep totally silent	一声不响
yiduzi	bellyful	一肚子
yidupi	bellyful	一肚皮
yiguzi	a whiff of	一股子
yiguqingliu	a breath of fresh air	一股清流
yigunao	all of it	一股脑
yitaizhi	the one-child policy	一胎制
yimaixiangcheng	traceable to the same stock	一脉相承
yiqiang	full of	一腔
yilianmangran	puzzled	一脸茫然
yizhi	consistent	一致
yizhizi	consistent words	一致字
yizhixing	consistency	一致性
yizhixingxiaoying	consistency effect	一致性效应
yiju	a move	一举
yijuyidong	every movement	一举一动
yijuliangde	one action, two gains	一举两得
yijuchenggong	success at one go	一举成功
yijuchengming	become famous in one stroke	一举成名
yijushouyitouzu	every little move	一举手一投足
yiban	same	一般
yibanren	average person	一般人
yibanlaishuo	generally speaking	一般来说
yibanlaijiang	generally speaking	一般来讲
yibanyuanze	general principle	一般原则
yibanxing	general	一般性
yibaneryan	generally speaking	一般而言
yibanban	not particularly good	一般般
yibanjianshi	lower oneself to  level	一般见识
yibanguiding	ordinary provision	一般规定
yibanshuolai	generally speaking	一般说来
yibanmaoyi	general trade	一般贸易
yihao	first day of the month	一号
yihaomugan	driver	一号木杆
yihaodianchi	D size battery	一号电池
yixue	first blood	一血
yixing	party	一行
yiyidaishui	a narrow strip of water	一衣带水
yixi	an outfit of	一袭
yijianqingxin	love at first sight	一见倾心
yijianrugu	familiarity at first sight	一见如故
yijianzhongqing	fall in love at first sight	一见钟情
yiqinfangze	get close to	一亲芳泽
yijiaoxinglai	wake up from a sleep	一觉醒来
yilan	at a glance	一览
yilanwuyi	be plainly visible	一览无遗
yilanwuyu	cover all at one glance	一览无余
yilanbiao	table	一览表
yijiaojing	narwhal	一角鲸
yichujifa	could happen at any moment	一触即发
yiyan	one sentence	一言
yiyanyidong	every word and deed	一言一动
yiyanyixing	every word and action	一言一行
yiyanbuhe	have a disagreement	一言不合
yiyanbufa	not say a word	一言不发
yiyanyibizhi	one word says it all	一言以蔽之
yiyantang	prices fixed – no bargaining	一言堂
yiyanchaobaizong	cut a long story short	一言抄百总
yiyanweiding	it's a deal	一言为定
yiyanweizhong	each word carries weight	一言为重
yiyannanjin	hard to explain in a few words	一言难尽
yiyubufa	not say a word	一语不发
yiyuzhongdi	hit the mark with a comment	一语中的
yiyudaopo	one word says it all	一语道破
yiyushuangguan	make a pun	一语双关
yishuo	an expression of opinion	一说
yipinruxi	penniless	一贫如洗
yiguan	consistent	一贯
yiqi	the same place	一起
yilu	the whole journey	一路
yilushang	along the way	一路上
yilulai	all the way	一路来
yilupingan	have a pleasant journey	一路平安
yiluhuose	as detestable as each other	一路货色
yilushunfeng	have a pleasant journey	一路顺风
yilufengchen	live an exhausting journey	一路风尘
yicujizhi	lit. to get there in one step	一蹴即至
yicukeji	succeed at the first try	一蹴可几
yicuerjiu	get there in one step	一蹴而就
yicuerde	see 一蹴而就[yi1 cu4 er2 jiu4]	一蹴而得
yicuercheng	see 一蹴而就[yi1 cu4 er2 jiu4]	一蹴而成
yijuebuzhen	one stumble, unable to rise	一蹶不振
yiyueerqi	jump up suddenly	一跃而起
yishen	whole body	一身
yishenshidan	devoid of fear	一身是胆
yishenhan	sweating all over	一身汗
yijiaogaoxia	compete against	一较高下
yibeizi	a lifetime	一辈子
yilun	first round or stage	一轮
yizhuanyan	in the blink of an eye	一转眼
yicimozan	left speechless by sth perfect	一辞莫赞
yichengshouyu	give way to one's beastly lust	一逞兽欲
yilian	in a row	一连
yilianchuan	a succession of	一连串
yibian	one time	一遍
yibianyouyibian	over and over	一遍又一遍
yiguoxing	transient	一过性
yidao	together	一道
yidiyige	one after another	一递一个
yidiyisheng	one answering the other	一递一声
yibian	one side	一边
yibufen	portion	一部分
yizuifangxiu	get thoroughly drunk	一醉方休
yichuizimaimai	a one-off, short-sighted deal	一锤子买卖
yiqianbuzhi	not worth a penny	一钱不值
yiqianruming	stingy	一钱如命
yicuozaicuo	repeat errors	一错再错
